OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM
15382,2006,CA,CDF,SKU,HUMBUG#3,00003387,2006/07/19 00:00:00+00,2006/07/19 00:00:00+00,8,,22,22.54613304,1,1,00000198
15383,2006,CA,CDF,SKU,RIDGE,00003844,2006/08/06 00:00:00+00,2006/08/06 00:00:00+00,1,,10.21,109.16110992,6,1,00000257
15384,2006,CA,CDF,TCU,MORRELL,00004892,2006/06/12 00:00:00+00,2006/06/12 00:00:00+00,9,No cost info available for this fire,142,148.28939819,1,1,00000333
15385,2006,CA,CDF,TCU,PONTE,00005423,2006/06/26 00:00:00+00,2006/06/26 00:00:00+00,2,No cost info available for this fire,194,193.53227234,1,1,00000385
15386,2006,CA,CDF,TCU,RITTS,00005190,2006/06/21 00:00:00+00,2006/06/21 00:00:00+00,11,No cost info available for this fire,85,90.02367401,2,1,00000359
15387,2006,CA,CDF,TCU,MILTON,00005453,2006/06/27 00:00:00+00,2006/06/27 00:00:00+00,10,No cost info available for this fire,234,233.43603516,1,1,00005453
15388,2006,CA,CDF,TCU,PEDRO,00005732,2006/07/03 00:00:00+00,2006/07/05 00:00:00+00,9,Costs derived from ARC,2000,1997.15148926,2,2,00000419
15389,2006,CA,CDF,TCU,TULLOCK,00005773,2006/07/04 00:00:00+00,2006/07/04 00:00:00+00,2,No cost info available for this fire,150,149.94360352,1,1,00000429
15390,2006,CA,CDF,TCU,JENSON,00006360,2006/07/19 00:00:00+00,2006/07/20 00:00:00+00,2,Costs derived from ARC,135,150.33581543,1,1,00000500
15391,2006,CA,CDF,TCU,ORANGE,00006682,2006/07/27 00:00:00+00,2006/07/27 00:00:00+00,2,Costs derived from ARC,187,199.87651062,1,1,00000535
15392,2006,CA,CDF,TCU,BIEDERMAN,00006893,2006/08/02 00:00:00+00,2006/08/02 00:00:00+00,2,No cost info available for this fire,91,86.88700104,1,1,00000549
15393,2006,CA,USF,BDF,PLUNGE,00000964,2006/01/23 00:00:00+00,2006/01/26 00:00:00+00,4, ,485,477.11141968,7,1,00000005
15394,2006,CA,USF,CNF,SIERRA,00000300,2006/02/06 00:00:00+00,2006/02/22 00:00:00+00,18,,10584,10591.97558594,7,1,00000008
15395,2006,CA,CCO,VNC,ROUND MTN,00000000,2006/12/03 00:00:00+00,2006/12/03 00:00:00+00,14,"Round Mtn Fire, Ventura Co Fire suppressed. Within SMP threat zone.",129,128.57803345,7,1,00000000
15396,2006,CA,CCO,LAC,LATIGO,00029215,2006/02/08 00:00:00+00,2006/02/09 00:00:00+00,10,"Latigo Fire, cause = stolen car lit on fire and abandoned",36,36.62500763,1,1,00029215
15397,2006,CA,LRA,VNC,SEQUOIA FIRE,60004941,2006/12/08 00:00:00+00,2006/12/08 00:00:00+00,14,,345,345.31530762,2,1,60004941
15398,2006,CA,CDF,VNC,SHEKELL,07003565,2006/12/03 00:00:00+00,2006/12/09 00:00:00+00,14,,13600,13618.08886719,2,1,07003565
15399,2006,CA,LRA,VNC,SHERWOOD,06060649,2006/07/06 00:00:00+00,2006/07/08 00:00:00+00,14,,168,167.9568634,2,1,06060649
15400,2006,CA,USF,LPF,MC PHERSON,00000000,2006/06/19 00:00:00+00,2006/07/20 00:00:00+00,1,MCPherson Fire caused by lightning.  Perkins was caused by Human/Powerline.,55,53.73969269,7,1,00000014
15401,2006,CA,USF,SQF,SMITH,00001764,2006/06/27 00:00:00+00,2006/07/06 00:00:00+00,1, ,225,225.13827515,7,1,00000010
15402,2006,CA,USF,MDF,MILLER DIV Y,00000276,2006/06/30 00:00:00+00,2006/07/05 00:00:00+00,1, ,46,46.03122711,1,1,00000037
15403,2006,CA,USF,INF,SHOOTING,00000000,2006/07/15 00:00:00+00,2006/07/17 00:00:00+00,9, ,18,18.33276558,1,1,00000023
15404,2006,CA,USF,PNF,BOULDER COMPLEX,00000371,2006/06/25 00:00:00+00,2006/07/12 00:00:00+00,1,"Indian, Sage, Hungry, and Boulder Perimiters are separate records",3500,33.88801193,1,1,00000033
15405,2006,CA,USF,INF,GHOST,00000000,2006/06/24 00:00:00+00,2006/06/28 00:00:00+00,1,,84,82.7479248,8,,00000003
15406,2006,CA,USF,BDF,MILLARD,00006773,2006/07/09 00:00:00+00,2006/08/01 00:00:00+00,1,Perimeter is edgematched with Sawtooth Complex,24000,24218.8984375,7,1,00000083
15407,2006,CA,USF,SQF,GIBONNEY,00000000,2006/07/19 00:00:00+00,2006/07/20 00:00:00+00,1,"26.7 BLM, 12.6 USFS",39.4,39.41233444,2,,00000028
15408,2006,CA,USF,LPF,BALD - SAN RAFAEL COMPLEX,00001442,2006/07/22 00:00:00+00,2006/07/30 00:00:00+00,1,"This complex consisted of the Bald,Morman,Abel, and Horrse fires",1250,4321.53662109,6,1,00000044
